Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000027296,Itpka,Gene Expression,0.5806815591653958,0.0,0.0,6417,1.950329237566503,1706
ENSMUSG00000069372,Ctxn3,Gene Expression,0.5805559204227508,0.0,0.0,728,0.2622493283408178,310
ENSMUSG00000027375,Mal,Gene Expression,0.5786308840459183,0.0,0.0,11823,5.193234964169294,2171
ENSMUSG00000003657,Calb2,Gene Expression,0.5748187908162372,0.0,0.0,3984,1.2510230258503605,1077
ENSMUSG00000036634,Mag,Gene Expression,0.5695625772489431,0.0,0.0,10010,4.362328410590467,2095
ENSMUSG00000036438,Calm2,Gene Expression,0.5677549423692931,0.0,0.0,79485,25.050134791111017,2791
ENSMUSG00000022548,Apod,Gene Expression,0.5669459634988476,0.0,0.0,13679,6.037895401639403,2261
ENSMUSG00000040624,Plekhg1,Gene Expression,0.5655666797161805,0.0,0.0,1042,0.4402137296525716,522
ENSMUSG00000028161,Ppp3ca,Gene Expression,0.5617539224989868,0.0,0.0,32689,10.313629603497548,2735
ENSMUSG00000006930,Hap1,Gene Expression,0.5612816971621483,0.0,0.0,6206,1.9581177203870352,1711
ENSMUSG00000049775,Tmsb4x,Gene Expression,0.5595682452767505,0.0,0.0,110312,36.62027098383815,2794
ENSMUSG00000045573,Penk,Gene Expression,0.5560209388724351,0.0,0.0,5825,2.251521305333872,1404
ENSMUSG00000021087,Rtn1,Gene Expression,0.555400998170193,0.0,0.0,58210,18.253533529008227,2781
ENSMUSG00000039195,1110008P14Rik,Gene Expression,0.5548740611499966,0.0,0.0,22115,6.962524319660222,2652
ENSMUSG00000055430,Nap1l5,Gene Expression,0.5544506294781152,0.0,0.0,23907,7.564075277732465,2649
ENSMUSG00000013523,Bcas1,Gene Expression,0.551550610680561,0.0,0.0,5582,2.526383788093214,1803
ENSMUSG00000025889,Snca,Gene Expression,0.5494814823151507,0.0,0.0,14089,4.313663383624703,2372
ENSMUSG00000067879,Vxn,Gene Expression,0.5493408487231036,0.0,0.0,5931,1.812120611378312,1686
ENSMUSG00000033061,Resp18,Gene Expression,0.5470265656331356,0.0,0.0,12707,3.946663443435008,2273
ENSMUSG00000028785,Hpca,Gene Expression,0.5436488552312283,0.0,0.0,18126,5.581029750085904,2442
ENSMUSG00000001175,Calm1,Gene Expression,0.5421019344017539,0.0,0.0,82332,26.874974643204347,2794
ENSMUSG00000018339,Gpx3,Gene Expression,0.5416179918012837,0.0,0.0,1990,0.5953611914554966,741
ENSMUSG00000037625,Cldn11,Gene Expression,0.5415893317279493,0.0,0.0,7627,3.340001988549377,1973
ENSMUSG00000029151,Slc30a3,Gene Expression,0.5414795663912587,0.0,0.0,4081,1.2292600052816862,1392
ENSMUSG00000027347,Rasgrp1,Gene Expression,0.5371363053906232,0.0,0.0,10186,3.3641144892339296,2205
ENSMUSG00000025738,Fbxl16,Gene Expression,0.5359468944261699,0.0,0.0,16070,5.25679893442063,2574
ENSMUSG00000013076,Amotl1,Gene Expression,0.5354993364062773,0.0,0.0,1795,0.6917360173783283,906
ENSMUSG00000030500,Slc17a6,Gene Expression,0.5344579790701484,0.0,0.0,3097,1.0654098261981169,1203
ENSMUSG00000032368,Zic1,Gene Expression,0.5335403108543412,0.0,0.0,1187,0.4832753960480687,592
ENSMUSG00000018451,6330403K07Rik,Gene Expression,0.531897713653389,0.0,0.0,21844,6.785435259068814,2613
ENSMUSG00000032060,Cryab,Gene Expression,0.5293320024584016,0.0,0.0,11788,4.888092543407786,2443
ENSMUSG00000038300,Pth2,Gene Expression,0.5291007645956104,0.0,0.0,401,0.10918795304792477,128
ENSMUSG00000036699,Zcchc12,Gene Expression,0.527082300108986,0.0,0.0,4558,1.4558982230827802,1453
ENSMUSG00000028266,Lmo4,Gene Expression,0.5230089054427235,0.0,0.0,8449,2.602694843287037,2047
ENSMUSG00000032503,Arpp21,Gene Expression,0.5216257568399629,0.0,0.0,7493,2.37740809606056,1973
ENSMUSG00000033161,Atp1a1,Gene Expression,0.5206829703904777,0.0,0.0,17268,5.2957085841403275,2565
ENSMUSG00000040856,Dlk1,Gene Expression,0.5189195721420429,0.0,0.0,1116,0.345263647999986,465
ENSMUSG00000026051,Ecrg4,Gene Expression,0.5182487643546513,0.0,0.0,2053,0.4362121584730933,301
ENSMUSG00000025203,Scd2,Gene Expression,0.5162926055683377,0.0,0.0,36431,13.805759523019358,2792
ENSMUSG00000049556,Lingo1,Gene Expression,0.5149463015116058,0.0,0.0,10341,3.2252514283386633,2239
ENSMUSG00000015090,Ptgds,Gene Expression,0.5137067999523225,0.0,0.0,71810,29.056525304089938,2788
ENSMUSG00000032238,Rora,Gene Expression,0.5111334650575263,0.0,0.0,2647,1.0686082672722073,1209
ENSMUSG00000067889,Sptbn2,Gene Expression,0.5111228534766298,0.0,0.0,12034,3.926964046757234,2447
ENSMUSG00000007944,Ttc9b,Gene Expression,0.5100220413716129,0.0,0.0,11947,3.69358915566227,2355
ENSMUSG00000050315,Synpo2,Gene Expression,0.5099712911735459,0.0,0.0,802,0.34209730224867657,429
ENSMUSG00000115625,2900040C04Rik,Gene Expression,0.5094646311218309,0.0,0.0,602,0.125798648876717,128
ENSMUSG00000022425,Enpp2,Gene Expression,0.5087804684806834,0.0,0.0,20690,5.535087754573518,2427
ENSMUSG00000037126,Psd,Gene Expression,0.5074396780023027,0.0,0.0,10700,3.540090771391165,2370
ENSMUSG00000035864,Syt1,Gene Expression,0.5056630572180365,0.0,0.0,25723,8.336524881074308,2706
ENSMUSG00000059456,Ptk2b,Gene Expression,0.5026622610604877,0.0,0.0,8476,2.6769671920480818,2047
ENSMUSG00000030307,Slc6a11,Gene Expression,0.49964943105903714,0.0,0.0,5378,1.8932269838190456,1778
ENSMUSG00000038530,Rgs4,Gene Expression,0.4995323104651433,0.0,0.0,8524,2.777659711224569,2141
ENSMUSG00000078816,Prkcg,Gene Expression,0.4984824695202283,0.0,0.0,8971,2.8935487797299184,2130
ENSMUSG00000031654,Cbln1,Gene Expression,0.49728946335369356,0.0,0.0,1395,0.4679117168210459,599
ENSMUSG00000026090,2010300C02Rik,Gene Expression,0.49696602573132165,0.0,0.0,4978,1.5532719058557225,1672
ENSMUSG00000025372,Baiap2,Gene Expression,0.4967249527408567,0.0,0.0,6543,2.0263094553209586,1891
ENSMUSG00000020486,Sept4,Gene Expression,0.49544832916503656,0.0,0.0,8146,3.3204366567564656,2251
ENSMUSG00000041578,Crx,Gene Expression,0.4949590399757924,0.0,0.0,48,0.014457997875369454,25
ENSMUSG00000022577,Ly6h,Gene Expression,0.49337706278385113,0.0,0.0,20905,6.616558469668705,2636
ENSMUSG00000031517,Gpm6a,Gene Expression,0.4931061621594488,0.0,0.0,34235,10.945440440587399,2758
ENSMUSG00000050821,Fam131a,Gene Expression,0.4922908600507926,0.0,0.0,8555,2.5649699805335118,2077
ENSMUSG00000076439,Mog,Gene Expression,0.49206214034789314,0.0,0.0,5097,2.219704437584336,1661
ENSMUSG00000041453,Rpl21,Gene Expression,0.4912953552319419,0.0,0.0,74651,25.92282870283714,2796
ENSMUSG00000026259,Ngef,Gene Expression,0.4902814570840446,0.0,0.0,7748,2.454251712218767,2139
ENSMUSG00000025386,Pde6g,Gene Expression,0.48934613031743984,0.0,0.0,157,0.04935873797204704,60
ENSMUSG00000006476,Nsmf,Gene Expression,0.48772211516588054,0.0,0.0,13141,4.7558863032353615,2571
ENSMUSG00000020431,Adcy1,Gene Expression,0.48684291622117104,0.0,0.0,8599,2.803682711531941,2151
ENSMUSG00000068696,Gpr88,Gene Expression,0.4864473576099028,0.0,0.0,1605,0.5812267196835249,828
ENSMUSG00000033615,Cplx1,Gene Expression,0.48594170828632977,0.0,0.0,23250,7.938557379523704,2681
ENSMUSG00000036564,Ndrg4,Gene Expression,0.4849070612882273,0.0,0.0,43647,14.372741951243935,2761
ENSMUSG00000041773,Enc1,Gene Expression,0.4848946480961836,0.0,0.0,11377,3.527998878745449,2300
ENSMUSG00000047261,Gap43,Gene Expression,0.4848877978360016,0.0,0.0,15699,5.0010808195633105,2505
ENSMUSG00000025867,Cplx2,Gene Expression,0.48403491363319784,0.0,0.0,12189,4.0682675273718845,2404
ENSMUSG00000027833,Shox2,Gene Expression,0.4835688219516932,0.0,0.0,621,0.23828277388893065,343
ENSMUSG00000029223,Uchl1,Gene Expression,0.4833647706081459,0.0,0.0,56339,18.642815579963884,2783
ENSMUSG00000038112,AW551984,Gene Expression,0.4828104641976736,0.0,0.0,1151,0.3266574656323199,516
ENSMUSG00000059857,Ntng1,Gene Expression,0.4825892923200742,0.0,0.0,1723,0.6456398213485799,916
ENSMUSG00000052889,Prkcb,Gene Expression,0.48213494616431657,0.0,0.0,12710,4.068286428776528,2462
ENSMUSG00000020262,Adarb1,Gene Expression,0.48041229547453457,0.0,0.0,5170,1.9241754088839969,1925
ENSMUSG00000001827,Folr1,Gene Expression,0.4783205361860122,0.0,0.0,671,0.15334877563321223,171
ENSMUSG00000047675,Rps8,Gene Expression,0.4778294848276532,0.0,0.0,57729,20.005209607501044,2797
ENSMUSG00000027858,Tspan2,Gene Expression,0.47458005784332413,0.0,0.0,5118,2.202611000845079,1751
ENSMUSG00000026385,Dbi,Gene Expression,0.47197781975823333,0.0,0.0,25899,9.46085391949002,2771
ENSMUSG00000024907,Gal,Gene Expression,0.46931083454892636,0.0,0.0,952,0.25767675011478697,280
ENSMUSG00000037166,Ppp1r14a,Gene Expression,0.4671478972997184,0.0,0.0,3565,1.5465349214088568,1475
ENSMUSG00000022949,Clic6,Gene Expression,0.4653238632170729,0.0,0.0,771,0.177978357550882,215
ENSMUSG00000053025,Sv2b,Gene Expression,0.4648168471586468,0.0,0.0,7679,2.405149522380904,2081
ENSMUSG00000046215,Rprml,Gene Expression,0.4643865590978661,0.0,0.0,4914,1.5000896926460192,1695
ENSMUSG00000025290,Rps24,Gene Expression,0.46430665343979094,0.0,0.0,70802,25.08630014062384,2793
ENSMUSG00000028833,Ncdn,Gene Expression,0.46309249956222337,0.0,0.0,37715,12.41928042074975,2758
ENSMUSG00000023439,Gnb3,Gene Expression,0.4628220058952513,0.0,0.0,119,0.034567865412990124,46
ENSMUSG00000020460,Rps27a,Gene Expression,0.4608695003901793,0.0,0.0,54998,19.15010284132905,2792
ENSMUSG00000033585,Ndn,Gene Expression,0.4608450493029092,0.0,0.0,17292,5.507263009192853,2585
ENSMUSG00000026830,Ermn,Gene Expression,0.4587845878177197,0.0,0.0,2193,0.982513912917504,1098
ENSMUSG00000030772,Dkk3,Gene Expression,0.45857818337390377,0.0,0.0,4526,1.4103936124102405,1612
ENSMUSG00000029544,Cabp1,Gene Expression,0.45779502990871207,0.0,0.0,5018,1.5279268789280882,1698
ENSMUSG00000020932,Gfap,Gene Expression,0.45732031298856757,0.0,0.0,4029,1.7906849311748323,1366
ENSMUSG00000063659,Zbtb18,Gene Expression,0.4569065909199929,0.0,0.0,6442,2.00759956281685,1935
ENSMUSG00000040479,Dgkz,Gene Expression,0.4547886105532096,0.0,0.0,9491,3.0874303763103135,2326
ENSMUSG00000110195,Pde2a,Gene Expression,0.45434950801833934,0.0,0.0,6271,2.0161712197480033,1966
ENSMUSG00000050074,Spink8,Gene Expression,0.45320859223321724,0.0,0.0,723,0.21869843550276696,298
ENSMUSG00000049225,Pdp1,Gene Expression,0.4531353737362712,0.0,0.0,4933,1.7442253779296033,1799
ENSMUSG00000003279,Dlgap1,Gene Expression,0.45095281725768627,0.0,0.0,9402,2.9506481192539207,2246
ENSMUSG00000026344,Lypd1,Gene Expression,0.4508450838216696,0.0,0.0,3344,1.1181911672915257,1337
ENSMUSG00000041571,Selenow,Gene Expression,0.45044294185532724,0.0,0.0,74825,25.560658006218723,2794
ENSMUSG00000022602,Arc,Gene Expression,0.44864222212150334,0.0,0.0,2845,0.8548462348139765,1208
ENSMUSG00000059361,Nrsn2,Gene Expression,0.44806926474655645,0.0,0.0,7751,2.554667674462331,2145
ENSMUSG00000037579,Kcnh3,Gene Expression,0.44604576943206947,0.0,0.0,3153,0.9984741394132246,1369
ENSMUSG00000058624,Gda,Gene Expression,0.44365151265801167,0.0,0.0,4271,1.333455089057077,1611
ENSMUSG00000006522,Itih3,Gene Expression,0.44363327605131614,0.0,0.0,2157,0.709946630030184,975
ENSMUSG00000019986,Ahi1,Gene Expression,0.4434196416083636,0.0,0.0,7260,2.273566759037811,2034
ENSMUSG00000032890,Rims3,Gene Expression,0.44290828452767744,0.0,0.0,4585,1.587092409778821,1790
ENSMUSG00000040046,Tph1,Gene Expression,0.43999031776907416,0.0,0.0,85,0.027482212252415178,28
ENSMUSG00000039672,Kcne2,Gene Expression,0.43959327658366326,0.0,0.0,347,0.06529479085251019,75
ENSMUSG00000064357,mt-Atp6,Gene Expression,0.4394050378890792,0.0,0.0,913993,330.6389580393656,2797
ENSMUSG00000028832,Stmn1,Gene Expression,0.4392859989349442,0.0,0.0,48630,16.159302849447194,2784
ENSMUSG00000033981,Gria2,Gene Expression,0.4391563891669591,0.0,0.0,10306,3.19063392080821,2319
ENSMUSG00000021647,Cartpt,Gene Expression,0.4391073800145249,0.0,0.0,2118,0.601401939209432,707
ENSMUSG00000019970,Sgk1,Gene Expression,0.4382124639000706,0.0,0.0,8449,3.4108128712786048,2302
ENSMUSG00000032174,Icam5,Gene Expression,0.43814885026712486,0.0,0.0,4509,1.4285454501138122,1659
ENSMUSG00000037742,Eef1a1,Gene Expression,0.43789715891488296,0.0,0.0,83573,28.959928324689493,2795
ENSMUSG00000058488,Kl,Gene Expression,0.43787260440499626,0.0,0.0,888,0.19420170322352176,227
ENSMUSG00000021032,Ngb,Gene Expression,0.437753604118711,0.0,0.0,1172,0.34541338002103905,576
ENSMUSG00000017734,Dbndd2,Gene Expression,0.43683016653907053,0.0,0.0,10710,4.375911180291404,2536
ENSMUSG00000032246,Calml4,Gene Expression,0.43645610183519906,0.0,0.0,570,0.1432829435257466,152
ENSMUSG00000067578,Cbln4,Gene Expression,0.4343487132244905,0.0,0.0,1013,0.3217733368814722,522
ENSMUSG00000001270,Ckb,Gene Expression,0.4343046140418104,0.0,0.0,79820,28.298499944526874,2796
ENSMUSG00000027199,Gatm,Gene Expression,0.4336443428042239,0.0,0.0,4226,1.811187404226688,1741
ENSMUSG00000037362,Ccn3,Gene Expression,0.43196147185094824,0.0,0.0,2726,0.84982034679357,1089
ENSMUSG00000037706,Cd81,Gene Expression,0.4307429933086964,0.0,0.0,21537,7.987018150254473,2765
ENSMUSG00000061718,Ppp1r1b,Gene Expression,0.43045628074888787,0.0,0.0,3519,1.2491274053598005,1398
ENSMUSG00000026579,F5,Gene Expression,0.43039231200303724,0.0,0.0,265,0.05001353421005915,66
ENSMUSG00000026825,Dnm1,Gene Expression,0.42840660237810935,0.0,0.0,36911,11.975089523885039,2760
ENSMUSG00000039278,Pcsk1n,Gene Expression,0.428268052236723,0.0,0.0,85111,28.662835788239864,2796
ENSMUSG00000035033,Tbr1,Gene Expression,0.4278971504788534,0.0,0.0,2642,0.8028070382624719,1176
ENSMUSG00000071379,Hpcal1,Gene Expression,0.4278775936053137,0.0,0.0,4046,1.2917916066137798,1556
ENSMUSG00000020178,Adora2a,Gene Expression,0.4277168427319611,0.0,0.0,224,0.09603138892678062,141
ENSMUSG00000073680,Tmem88b,Gene Expression,0.427199361225537,0.0,0.0,2354,1.040712713094612,1190
ENSMUSG00000063415,Cyp26b1,Gene Expression,0.426840851089956,0.0,0.0,486,0.15465322578994795,273
ENSMUSG00000005716,Pvalb,Gene Expression,0.4264405430926604,0.0,0.0,7862,2.720586481770861,1917
ENSMUSG00000020732,Rab37,Gene Expression,0.4256151713787456,0.0,0.0,520,0.2373603018408057,318
ENSMUSG00000030905,Crym,Gene Expression,0.4255666349268751,0.0,0.0,2585,0.8025160107374073,1119
ENSMUSG00000054667,Irs4,Gene Expression,0.42528706659235066,0.0,0.0,338,0.08618161691153943,178
ENSMUSG00000032936,Camkv,Gene Expression,0.42430632541129254,0.0,0.0,9830,3.163649294013071,2346
ENSMUSG00000019194,Scn1b,Gene Expression,0.4239838927794551,0.0,0.0,17598,5.722245676688188,2628
ENSMUSG00000033953,Ppp3r1,Gene Expression,0.4199414767598273,0.0,0.0,19295,5.953895951579064,2628
ENSMUSG00000004558,Ndrg2,Gene Expression,0.41936618252997865,0.0,0.0,24490,8.913944393578552,2777
ENSMUSG00000061983,Rps12,Gene Expression,0.41843236047245264,0.0,0.0,42594,15.213082731908816,2792
ENSMUSG00000050121,Opalin,Gene Expression,0.41698481870083215,0.0,0.0,2995,1.2708112111181225,1275
ENSMUSG00000066705,Fxyd6,Gene Expression,0.4169348098665927,0.0,0.0,6739,2.1694483338619737,1990
ENSMUSG00000041534,Rbp3,Gene Expression,0.41659396642912355,0.0,0.0,131,0.038828735544117796,40
ENSMUSG00000056708,Ier5,Gene Expression,0.4164460344008901,0.0,0.0,3304,0.9922059740996431,1393
ENSMUSG00000002985,Apoe,Gene Expression,0.41562177859474,0.0,0.0,85463,32.22289303125959,2793
ENSMUSG00000055945,Prr18,Gene Expression,0.4153451570069339,0.0,0.0,2239,0.9945217749226098,1190
ENSMUSG00000079523,Tmsb10,Gene Expression,0.41432699003145224,0.0,0.0,24670,8.046407811543169,2719
ENSMUSG00000018965,Ywhah,Gene Expression,0.4137566292491761,0.0,0.0,44984,14.388246972976685,2762
ENSMUSG00000038255,Neurod2,Gene Expression,0.4136706671817719,0.0,0.0,2728,0.8224334053024309,1226
ENSMUSG00000027562,Car2,Gene Expression,0.41349172938607354,0.0,0.0,10038,4.04971528018104,2451
ENSMUSG00000042388,Dlgap3,Gene Expression,0.4133818751284214,0.0,0.0,8437,2.940461332178578,2337
ENSMUSG00000060126,Tpt1,Gene Expression,0.4132623389754153,0.0,0.0,48149,17.41843535110855,2793
ENSMUSG00000031765,Mt1,Gene Expression,0.4131777371636869,0.0,0.0,54835,20.790077327296405,2795
ENSMUSG00000045763,Basp1,Gene Expression,0.413153795504149,0.0,0.0,19320,6.120004510096281,2627
ENSMUSG00000027797,Dclk1,Gene Expression,0.4126625575276808,0.0,0.0,12489,3.9123392163866697,2484
ENSMUSG00000001076,C1ql4,Gene Expression,0.41263821857770333,0.0,0.0,70,0.02495945826028089,40
ENSMUSG00000039953,Clstn1,Gene Expression,0.4123671649762711,0.0,0.0,29228,9.42167945424787,2765
ENSMUSG00000031778,Cx3cl1,Gene Expression,0.41211374709535314,0.0,0.0,15237,4.837541505155775,2551
ENSMUSG00000061751,Kalrn,Gene Expression,0.41145103092448315,0.0,0.0,5883,1.8376389207154733,1885
ENSMUSG00000043388,Tmem130,Gene Expression,0.41101726056920873,0.0,0.0,7555,2.3785529998800907,2127
ENSMUSG00000028222,Calb1,Gene Expression,0.4104668139827572,0.0,0.0,5611,1.7425389625645171,1787
ENSMUSG00000038764,Ptpn3,Gene Expression,0.41029474280511974,0.0,0.0,1644,0.626223717165536,921
ENSMUSG00000030302,Atp2b2,Gene Expression,0.41027469606657085,0.0,0.0,12496,4.090742427051393,2520
ENSMUSG00000033579,Fa2h,Gene Expression,0.4101231101014195,0.0,0.0,2170,0.9570141958375379,1101
ENSMUSG00000058254,Tspan7,Gene Expression,0.41001447449227874,0.0,0.0,39210,13.152544601793249,2781
ENSMUSG00000019943,Atp2b1,Gene Expression,0.4086326332699894,0.0,0.0,10865,3.5654275644363636,2406
ENSMUSG00000019923,Zwint,Gene Expression,0.4085501527575693,0.0,0.0,36020,11.520514038701679,2753
ENSMUSG00000054728,Phactr1,Gene Expression,0.40827518531345525,0.0,0.0,6040,1.9671490374475873,1990
ENSMUSG00000041708,Mpped1,Gene Expression,0.4077787071934314,0.0,0.0,3674,1.1602432875269115,1535
ENSMUSG00000026384,Ptpn4,Gene Expression,0.4077452072294835,0.0,0.0,2801,1.0202146557326346,1428
ENSMUSG00000064354,mt-Co2,Gene Expression,0.4075976092945611,0.0,0.0,800209,290.34102329763886,2797
ENSMUSG00000026576,Atp1b1,Gene Expression,0.40758125422541946,0.0,0.0,62693,20.23214193718276,2781
ENSMUSG00000025855,Prkar1b,Gene Expression,0.4075705412347994,0.0,0.0,22316,7.0593629608463155,2697
ENSMUSG00000029831,Npvf,Gene Expression,0.406961166387526,0.0,0.0,251,0.05462600864216993,47
ENSMUSG00000043439,Epop,Gene Expression,0.40571024217145313,0.0,0.0,2494,0.7753732644186934,1190
ENSMUSG00000036198,Arhgap36,Gene Expression,0.40570533315543583,0.0,0.0,595,0.17322668333630828,310
ENSMUSG00000061762,Tac1,Gene Expression,0.40430133505591376,0.0,0.0,2432,0.8593594824532885,957
ENSMUSG00000030102,Itpr1,Gene Expression,0.4035655605951913,0.0,0.0,6440,2.0449819405891483,2041
ENSMUSG00000032518,Rpsa,Gene Expression,0.40317124425777084,0.0,0.0,46118,16.457605690393535,2794
ENSMUSG00000007656,Arpp19,Gene Expression,0.4028143288430494,0.0,0.0,12361,3.9875935864860232,2556
ENSMUSG00000022090,Pdlim2,Gene Expression,0.4017269030134162,0.0,0.0,2124,0.9107727618627567,1158
ENSMUSG00000003363,Pld3,Gene Expression,0.401564998472742,0.0,0.0,14291,4.546062274336612,2582
ENSMUSG00000026354,Lct,Gene Expression,0.4001593070416677,0.0,0.0,223,0.06612775711056063,130
ENSMUSG00000022490,Ppp1r1a,Gene Expression,0.40001603779337225,0.0,0.0,9319,3.000093423064135,2327
ENSMUSG00000074657,Kif5a,Gene Expression,0.3993318223896925,0.0,0.0,18671,6.777290367140198,2728
ENSMUSG00000037855,Zfp365,Gene Expression,0.39861007327254705,0.0,0.0,9014,2.9831066023783155,2368
ENSMUSG00000024873,Cnih2,Gene Expression,0.3982151870052066,0.0,0.0,13360,4.4575338672497535,2553
ENSMUSG00000039114,Nrn1,Gene Expression,0.3970046227196007,0.0,0.0,6633,2.093841200667461,1993
ENSMUSG00000032854,Ugt8a,Gene Expression,0.3963558406055384,0.0,0.0,2034,0.890821394342872,1058
ENSMUSG00000039943,Plcb4,Gene Expression,0.39558307987812774,0.0,0.0,2465,0.8800572166346922,1311
ENSMUSG00000054459,Vsnl1,Gene Expression,0.3944120108220177,0.0,0.0,27414,8.814958372156559,2696
ENSMUSG00000031775,Pllp,Gene Expression,0.39417601931006474,0.0,0.0,3395,1.442161354895383,1500
ENSMUSG00000023046,Igfbp6,Gene Expression,0.3934030209148877,0.0,0.0,2369,0.7304483125253128,1149
ENSMUSG00000007892,Rplp1,Gene Expression,0.39303816177396983,0.0,0.0,115335,40.995245847860595,2795
ENSMUSG00000005892,Trh,Gene Expression,0.3929551764439792,0.0,0.0,436,0.1710084140389194,196
ENSMUSG00000044349,Snhg11,Gene Expression,0.39249410402087687,0.0,0.0,23365,7.39154297836787,2669
ENSMUSG00000030337,Vamp1,Gene Expression,0.3923323391486125,0.0,0.0,4411,1.5395535688042388,1707
ENSMUSG00000038370,Pcp4l1,Gene Expression,0.39170255251888325,0.0,0.0,4304,1.5799463440597765,1721
ENSMUSG00000059173,Pde1a,Gene Expression,0.39060066397530463,0.0,0.0,3941,1.2034149837986579,1570
ENSMUSG00000066189,Cacng3,Gene Expression,0.389304839213318,0.0,0.0,3723,1.1487740919456857,1577
ENSMUSG00000068323,Slc4a5,Gene Expression,0.38899871574253037,0.0,0.0,192,0.04184062820232824,71
ENSMUSG00000039904,Gpr37,Gene Expression,0.388938502766691,0.0,0.0,2800,1.2054451107272959,1356
ENSMUSG00000036907,C1ql2,Gene Expression,0.3884554284589612,0.0,0.0,565,0.18329716389082357,293
